"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,1.0,5.0,124.0,"pTY3H_64_78","P07101",281.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,1.0,10.0,124.0,"pTY3H_64_78","P07101",573.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,1.0,25.0,124.0,"pTY3H_64_78","P07101",1430.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,1.0,50.0,124.0,"pTY3H_64_78","P07101",2867.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,1.0,100.0,124.0,"pTY3H_64_78","P07101",3719.0,1.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,2.0,5.0,124.0,"ATF2_47_59","P15336",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,2.0,10.0,124.0,"ATF2_47_59","P15336",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,2.0,25.0,124.0,"ATF2_47_59","P15336",-5.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,2.0,50.0,124.0,"ATF2_47_59","P15336",-5.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,2.0,100.0,124.0,"ATF2_47_59","P15336",-11.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,3.0,5.0,124.0,"CDN1A_139_151","P38936",103.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,3.0,10.0,124.0,"CDN1A_139_151","P38936",205.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,3.0,25.0,124.0,"CDN1A_139_151","P38936",523.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,3.0,50.0,124.0,"CDN1A_139_151","P38936",1045.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,3.0,100.0,124.0,"CDN1A_139_151","P38936",2106.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,4.0,5.0,124.0,"FIBA_569_581","P02671",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,4.0,10.0,124.0,"FIBA_569_581","P02671",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,4.0,25.0,124.0,"FIBA_569_581","P02671",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,4.0,50.0,124.0,"FIBA_569_581","P02671",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,4.0,100.0,124.0,"FIBA_569_581","P02671",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,5.0,5.0,124.0,"IKKB_173_185_C179A","O14920",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,5.0,10.0,124.0,"IKKB_173_185_C179A","O14920",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,5.0,25.0,124.0,"IKKB_173_185_C179A","O14920",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,5.0,50.0,124.0,"IKKB_173_185_C179A","O14920",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,5.0,100.0,124.0,"IKKB_173_185_C179A","O14920",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,6.0,5.0,124.0,"LIPS_944_956","Q05469",15.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,6.0,10.0,124.0,"LIPS_944_956","Q05469",35.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,6.0,25.0,124.0,"LIPS_944_956","Q05469",87.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,6.0,50.0,124.0,"LIPS_944_956","Q05469",180.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,6.0,100.0,124.0,"LIPS_944_956","Q05469",367.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,5.0,124.0,"MYBB_513_525","P10244",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,10.0,124.0,"MYBB_513_525","P10244",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,25.0,124.0,"MYBB_513_525","P10244",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,50.0,124.0,"MYBB_513_525","P10244",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,100.0,124.0,"MYBB_513_525","P10244",-3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,5.0,124.0,"PLEK_106_118","P08567",20.0,0.0
